Inference Time (ms),FPS
83.76,11.94
85.07,11.75
83.85,11.93
93.48,10.70
83.59,11.96
85.27,11.73
87.10,11.48
86.23,11.60
86.11,11.61
85.13,11.75
84.60,11.82
84.81,11.79
85.37,11.71
85.57,11.69
84.84,11.79
84.83,11.79
84.44,11.84
85.47,11.70
85.54,11.69
85.10,11.75
84.83,11.79
85.00,11.77
84.53,11.83
85.80,11.66
85.14,11.75
90.73,11.02
90.73,11.02
92.52,10.81
93.27,10.72
94.41,10.59
92.30,10.83
93.40,10.71
95.34,10.49
91.33,10.95
93.19,10.73
94.70,10.56
94.27,10.61
93.42,10.70
95.88,10.43
93.24,10.73
92.25,10.84
94.08,10.63
92.13,10.85
91.00,10.99
92.54,10.81
94.56,10.58
95.06,10.52
94.26,10.61
94.16,10.62
94.31,10.60
94.27,10.61
92.75,10.78
91.95,10.87
93.40,10.71
91.44,10.94
95.19,10.50
97.09,10.30
95.63,10.46
94.50,10.58
92.63,10.80
94.32,10.60
90.85,11.01
93.13,10.74
94.59,10.57
92.31,10.83
94.01,10.64
92.19,10.85
95.14,10.51
94.42,10.59
94.14,10.62
93.30,10.72
95.53,10.47
92.09,10.86
94.52,10.58
94.86,10.54
95.30,10.49
91.21,10.96
93.93,10.65
93.52,10.69
93.54,10.69
93.74,10.67
93.60,10.68
94.74,10.56
94.27,10.61
94.66,10.56
97.58,10.25
96.17,10.40
94.86,10.54
94.32,10.60
93.53,10.69
93.70,10.67
94.01,10.64
93.76,10.67
94.72,10.56
91.06,10.98
96.63,10.35
93.84,10.66
92.34,10.83
93.01,10.75
93.86,10.65
91.85,10.89
94.14,10.62
91.11,10.98
92.18,10.85
94.09,10.63
95.53,10.47
93.22,10.73
94.46,10.59
96.20,10.39
93.63,10.68
92.83,10.77
93.34,10.71
93.23,10.73
93.57,10.69
89.86,11.13
92.35,10.83
93.07,10.74
93.35,10.71
95.40,10.48
93.69,10.67
94.11,10.63
93.23,10.73
93.65,10.68
94.11,10.63
96.75,10.34
93.67,10.68
94.23,10.61
94.09,10.63
93.56,10.69
93.95,10.64
93.39,10.71
92.47,10.81
92.40,10.82
94.07,10.63
92.23,10.84
94.38,10.60
92.81,10.77
93.67,10.68
94.11,10.63
94.59,10.57
93.89,10.65
91.39,10.94
95.58,10.46
93.74,10.67
90.49,11.05
92.96,10.76
91.42,10.94
96.16,10.40
90.00,11.11
94.27,10.61
94.43,10.59
92.52,10.81
93.38,10.71
94.44,10.59
92.27,10.84
93.72,10.67
93.34,10.71
93.00,10.75
94.60,10.57
94.88,10.54
94.79,10.55
93.81,10.66
94.06,10.63
95.89,10.43
94.88,10.54
96.96,10.31
94.22,10.61
91.07,10.98
92.12,10.85
94.23,10.61
93.25,10.72
91.52,10.93
92.62,10.80
95.61,10.46
95.98,10.42
93.84,10.66
94.42,10.59
94.46,10.59
91.42,10.94
93.83,10.66
91.53,10.92
94.11,10.63
94.64,10.57
93.43,10.70
94.73,10.56
95.16,10.51
93.33,10.72
94.74,10.55
93.30,10.72
91.48,10.93
96.72,10.34
93.83,10.66
88.05,11.36
93.48,10.70
94.54,10.58
93.33,10.71
94.45,10.59
90.74,11.02
92.09,10.86
92.35,10.83
92.43,10.82
93.13,10.74
95.89,10.43
94.76,10.55
92.59,10.80
91.11,10.98
91.11,10.98
94.73,10.56
94.75,10.55
96.99,10.31
94.96,10.53
91.45,10.94
96.18,10.40
96.57,10.36
92.81,10.77
93.60,10.68
94.05,10.63
93.08,10.74
92.04,10.86
94.43,10.59
91.48,10.93
94.11,10.63
90.06,11.10
94.35,10.60
93.36,10.71
94.11,10.63
95.34,10.49
94.07,10.63
93.37,10.71
95.74,10.45
94.83,10.55
93.37,10.71
94.10,10.63
94.85,10.54
96.07,10.41
95.64,10.46
94.66,10.56
92.38,10.82
92.11,10.86
92.48,10.81
92.98,10.75
93.54,10.69
94.65,10.57
91.45,10.94
95.57,10.46
94.11,10.63
92.89,10.76
93.82,10.66
96.17,10.40
90.24,11.08
93.65,10.68
94.13,10.62
93.72,10.67
96.65,10.35
93.79,10.66
94.69,10.56
94.69,10.56
93.26,10.72
94.13,10.62
94.56,10.58
94.01,10.64
95.90,10.43
96.05,10.41
94.85,10.54
95.98,10.42
93.08,10.74
95.95,10.42
94.01,10.64
94.06,10.63
95.48,10.47
96.51,10.36
96.01,10.42
93.50,10.70
93.83,10.66
96.03,10.41
93.61,10.68
95.28,10.50
89.97,11.11
92.57,10.80
90.51,11.05
95.72,10.45
90.89,11.00
94.49,10.58
93.17,10.73
95.88,10.43
97.46,10.26
95.83,10.44
94.07,10.63
92.46,10.82
93.56,10.69
94.44,10.59
94.78,10.55
94.20,10.62
92.23,10.84
97.32,10.28
94.58,10.57
96.80,10.33
94.07,10.63
94.19,10.62
92.54,10.81
94.38,10.60
95.14,10.51
92.31,10.83
93.43,10.70
94.46,10.59
91.45,10.93
95.33,10.49
97.24,10.28
94.11,10.63
94.72,10.56
93.75,10.67
95.44,10.48
94.24,10.61
92.89,10.77
94.03,10.64
94.43,10.59
94.31,10.60
90.57,11.04
93.12,10.74
94.17,10.62
95.50,10.47
88.23,11.33
95.69,10.45
99.59,10.04
95.27,10.50
91.91,10.88
95.55,10.47
93.47,10.70
93.53,10.69
93.05,10.75
94.94,10.53
95.43,10.48
94.12,10.62
94.59,10.57
94.42,10.59
93.17,10.73
95.13,10.51
94.00,10.64
92.50,10.81
94.13,10.62
90.88,11.00
91.31,10.95
95.88,10.43
93.15,10.73
94.32,10.60
94.12,10.62
94.00,10.64
95.66,10.45
92.30,10.83
93.18,10.73
91.20,10.96
95.85,10.43
94.60,10.57
92.71,10.79
90.08,11.10
90.29,11.08
93.01,10.75
94.67,10.56
95.36,10.49
93.94,10.64
94.51,10.58
95.83,10.43
95.33,10.49
92.20,10.85
91.61,10.92
92.58,10.80
96.27,10.39
95.87,10.43
93.28,10.72
94.98,10.53
93.72,10.67
93.17,10.73
93.42,10.70
94.04,10.63
94.28,10.61
93.68,10.68
95.52,10.47
93.80,10.66
94.43,10.59
93.02,10.75
91.37,10.94
94.08,10.63
91.89,10.88
94.85,10.54
94.39,10.59
94.92,10.53
95.91,10.43
94.72,10.56
98.72,10.13
